index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,PNACOE
208,Ensenada,1,Ensenada,0134,12,233,12,18,3,9.48,1.67,93,1.14,3.03,19,105
209,Ensenada,1,Ensenada,0134,13,157,11,12,*,9.78,1.71,54,1.37,3.08,21,55
210,Ensenada,1,Ensenada,0134,14,95,6,10,*,8.40,1.85,30,1.53,3.39,5,34
211,Ensenada,1,Ensenada,0134,15,64,4,3,0,9.50,1.30,28,1.02,2.67,11,23
212,Ensenada,1,Ensenada,0134,16,82,6,5,*,8.85,2.19,26,1.49,3.15,7,32
213,Ensenada,1,Ensenada,0134,17,99,4,7,*,11.48,1.51,29,1.30,3.67,14,27
214,Ensenada,1,Ensenada,0134,18,65,5,*,*,9.82,2.71,28,0.89,2.83,14,31
215,Ensenada,1,Ensenada,0134,19,86,4,9,*,9.72,2.36,26,1.12,3.58,14,33
216,Ensenada,1,Ensenada,0134,20,26,0,3,0,8.32,1.90,11,0.93,2.36,3,10
217,Ensenada,1,Ensenada,0134,21,320,25,19,*,9.75,1.88,113,1.18,2.99,39,129
218,Ensenada,1,Ensenada,0134,22,66,3,4,*,9.57,1.79,26,1.03,3,14,30
219,Ensenada,1,Ensenada,0134,23,74,4,7,*,7.89,2.35,42,1.35,3.08,*,53
220,Ensenada,1,Ensenada,0134,24,93,7,6,*,8.43,2.06,37,1.52,3.10,11,32
221,Ensenada,1,Ensenada,0134,25,177,10,12,*,8.88,1.90,77,1.08,2.60,25,70
222,Ensenada,1,Ensenada,0134,26,0,0,0,0,0,0,0,0,0,0,0
223,Ensenada,1,Ensenada,0134,27,77,5,3,*,9.52,1.69,27,1.43,3.21,11,23
224,Ensenada,1,Ensenada,0134,28,136,10,13,0,9.77,1.60,48,1.36,2.89,18,41
225,Ensenada,1,Ensenada,0134,29,65,3,3,0,10.55,1.33,24,1.27,2.83,7,25
226,Ensenada,1,Ensenada,0134,30,106,5,5,0,9.78,1.37,40,1.28,2.94,18,35
227,Ensenada,1,Ensenada,0134,31,109,7,10,*,8.86,2.13,37,1.31,3.11,10,35
228,Ensenada,1,Ensenada,0134,32,213,12,19,*,10.06,1.83,67,1.13,3.55,28,84
229,Ensenada,1,Ensenada,0134,33,0,0,0,0,0,0,0,0,0,0,0
230,Ensenada,1,Ensenada,0134,34,210,17,20,0,8.99,2.04,83,1.46,3.04,16,76
231,Ensenada,1,Ensenada,0134,35,116,7,5,3,9.45,1.76,44,1.53,3.52,11,50
232,Ensenada,1,Ensenada,0134,36,99,7,7,*,9.51,1.94,39,1.41,3.09,6,23
233,Ensenada,1,Ensenada,0134,37,122,12,7,*,9.33,1.96,49,1.34,3.05,16,44
234,Ensenada,1,Ensenada,0134,38,113,4,11,*,8.58,1.78,43,1.30,2.90,14,39
235,Ensenada,1,Ensenada,0134,39,146,7,11,*,9.61,1.86,58,1.36,2.92,12,51
236,Ensenada,1,Ensenada,0134,40,156,14,17,*,9.27,1.96,60,1.41,3.06,16,58
237,Ensenada,1,Ensenada,0134,41,31,0,3,*,9.20,1.73,14,0.97,2.38,5,15
238,Ensenada,1,Ensenada,0134,42,127,9,7,*,8.82,1.76,44,1.38,3.10,14,49
239,Ensenada,1,Ensenada,0134,43,133,6,7,5,8.51,1.76,56,1.32,2.89,18,50
240,Ensenada,1,Ensenada,0134,44,60,*,4,*,9.56,1.45,30,0.92,2.73,7,27
241,Ensenada,1,Ensenada,0134,45,361,27,27,8,9.59,1.88,113,1.17,3.34,36,131
242,Ensenada,1,Ensenada,0134,46,2,*,*,*,*,*,1,*,*,*,*
244,Ensenada,1,Ensenada,0149,1,10,*,0,0,9.44,3.25,3,0.59,3.33,*,7
245,Ensenada,1,Ensenada,0149,2,0,0,0,0,0,0,0,0,0,0,0
246,Ensenada,1,Ensenada,0149,3,0,0,0,0,0,0,0,0,0,0,0
247,Ensenada,1,Ensenada,0149,4,17,*,*,*,11.23,2.60,7,0.94,4.25,*,13
248,Ensenada,1,Ensenada,0149,5,0,0,0,0,0,0,0,0,0,0,0
249,Ensenada,1,Ensenada,0149,6,0,0,0,0,0,0,0,0,0,0,0
250,Ensenada,1,Ensenada,0149,7,0,0,0,0,0,0,2,0,0,0,0
251,Ensenada,1,Ensenada,0149,8,2,*,*,*,*,*,1,*,*,*,*
252,Ensenada,1,Ensenada,0149,9,0,0,0,0,0,0,0,0,0,0,0
253,Ensenada,1,Ensenada,0149,10,10,*,*,*,*,*,3,*,*,*,*
254,Ensenada,1,Ensenada,0149,11,2,*,*,*,*,*,5,*,*,*,*
255,Ensenada,1,Ensenada,0149,12,0,0,0,0,0,0,0,0,0,0,0
256,Ensenada,1,Ensenada,0149,13,9,0,0,*,8.78,6.50,4,0.50,2.25,0,8
257,Ensenada,1,Ensenada,0149,14,2,*,*,*,*,*,2,*,*,*,*
258,Ensenada,1,Ensenada,0149,15,0,0,0,0,0,0,0,0,0,0,0
259,Ensenada,1,Ensenada,0149,16,0,0,0,0,0,0,0,0,0,0,0
260,Ensenada,1,Ensenada,0149,800,9,0,0,*,10.63,1.60,4,0.64,2.25,*,6
262,Ensenada,1,Ensenada,0153,1,1,*,*,*,*,*,4,*,*,*,*
263,Ensenada,1,Ensenada,0153,2,0,0,0,0,0,0,4,0,0,0,0
264,Ensenada,1,Ensenada,0153,3,7,*,*,*,*,*,7,*,*,*,*
265,Ensenada,1,Ensenada,0153,4,5,*,*,*,*,*,3,*,*,*,*
266,Ensenada,1,Ensenada,0153,5,0,0,0,0,0,0,3,0,0,0,0
267,Ensenada,1,Ensenada,0153,6,1,*,*,*,*,*,3,*,*,*,*
268,Ensenada,1,Ensenada,0153,7,2,*,*,*,*,*,1,*,*,*,*
269,Ensenada,1,Ensenada,0153,8,5,*,*,*,*,*,1,*,*,*,*
270,Ensenada,1,Ensenada,0153,9,0,0,0,0,0,0,2,0,0,0,0
271,Ensenada,1,Ensenada,0153,800,3,*,*,*,*,*,3,*,*,*,*
273,Ensenada,1,Ensenada,0168,1,5,*,*,*,*,*,3,*,*,*,*
274,Ensenada,1,Ensenada,0168,2,21,*,*,*,9.56,2,5,1.24,4.20,5,3
275,Ensenada,1,Ensenada,0168,3,17,*,0,*,9.77,3,7,0.71,2.83,*,11
276,Ensenada,1,Ensenada,0168,4,4,*,*,*,*,*,1,*,*,*,*
277,Ensenada,1,Ensenada,0168,5,29,*,*,5,6.81,3.70,9,0.94,3.22,*,10
278,Ensenada,1,Ensenada,0168,6,20,*,*,*,10.40,2.71,5,1,4,*,3
279,Ensenada,1,Ensenada,0168,7,12,0,0,0,7.73,2.25,5,1,3,*,6
280,Ensenada,1,Ensenada,0168,8,26,*,0,0,8.90,2.30,9,0.93,3.25,4,12
281,Ensenada,1,Ensenada,0168,9,17,*,0,0,9.46,1.88,6,1.13,2.83,*,9
282,Ensenada,1,Ensenada,0168,10,45,*,3,*,9.16,1.67,13,1.10,3.75,6,10
