@relation ENS_CLEAN_20

@attribute index numeric
@attribute NOM_MUN {Ensenada}
@attribute LOC numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute P_0A2 numeric
@attribute P_3A5 numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric

@data
150,Ensenada,1,Ensenada,115,20,95,7,11,0,9.59,2.09,31,1.19,3.28,11,40
151,Ensenada,1,Ensenada,115,21,34,3,11,0,9.57,2.07,11,1.31,4.25,4,17
152,Ensenada,1,Ensenada,115,22,1,3,11,0,9.57,2.07,3,1.31,4.25,4,17
153,Ensenada,1,Ensenada,115,23,39,3,11,0,10.31,1.61,14,1.3,3.25,4,21
154,Ensenada,1,Ensenada,115,24,7,3,11,0,10.31,1.61,1,1.3,3.25,4,21
155,Ensenada,1,Ensenada,115,25,7,3,11,0,10.31,1.61,3,1.3,3.25,4,21
156,Ensenada,1,Ensenada,115,26,11,0,0,0,10.3,3.75,4,0.85,2.75,4,7
157,Ensenada,1,Ensenada,115,27,44,0,0,0,10.19,2.33,13,1.22,3.67,5,20
158,Ensenada,1,Ensenada,115,28,73,5,0,3,9.24,1.93,29,1.12,3.32,7,35
159,Ensenada,1,Ensenada,115,29,53,4,4,0,10.39,1.57,18,1.56,3.79,7,14
160,Ensenada,1,Ensenada,115,30,8,4,4,0,10.39,1.57,2,1.56,3.79,7,14
161,Ensenada,1,Ensenada,115,31,2,4,4,0,10.39,1.57,1,1.56,3.79,7,14
162,Ensenada,1,Ensenada,115,33,6,0,0,3,5,4.67,3,1,2,0,5
163,Ensenada,1,Ensenada,115,34,56,0,4,0,9.14,1.7,22,1.6,3.11,3,27
164,Ensenada,1,Ensenada,115,35,53,6,4,0,8.52,1.89,17,1.83,3.79,3,17
165,Ensenada,1,Ensenada,115,36,0,0,0,0,0,0,0,0,0,0,0
166,Ensenada,1,Ensenada,115,37,75,7,4,3,8.8,2.26,27,1.53,3.26,9,26
167,Ensenada,1,Ensenada,115,38,55,7,6,3,8.59,2.25,18,1.77,3.67,9,16
168,Ensenada,1,Ensenada,115,39,97,10,4,3,9.33,2.11,36,1.49,3.13,8,49
169,Ensenada,1,Ensenada,115,40,75,5,7,3,8.82,2.27,59,1.53,3.13,8,36
170,Ensenada,1,Ensenada,115,41,376,33,34,3,8.87,2.1,124,1.5,3.3,24,181
171,Ensenada,1,Ensenada,115,42,74,8,3,3,8.49,2.13,22,1.54,3.36,6,28
172,Ensenada,1,Ensenada,115,43,135,5,11,3,8.69,2,42,1.59,3.38,10,53
173,Ensenada,1,Ensenada,115,44,26,5,5,0,9.27,2,10,1.08,2.89,10,11
174,Ensenada,1,Ensenada,115,45,33,3,5,0,10.48,1.78,9,1.43,3.67,4,13
175,Ensenada,1,Ensenada,115,46,0,0,0,0,0,0,0,0,0,0,0
176,Ensenada,1,Ensenada,115,47,1,0,0,0,0,0,1,0,0,0,0
177,Ensenada,1,Ensenada,115,48,4,0,0,0,0,0,2,0,0,0,0
178,Ensenada,1,Ensenada,115,49,4,0,0,0,0,0,2,0,0,0,0
197,Ensenada,1,Ensenada,134,1,150,7,11,0,10.21,2.16,61,1.11,3.33,18,65
198,Ensenada,1,Ensenada,134,2,174,9,14,0,9.39,1.71,57,1.2,3.11,22,66
199,Ensenada,1,Ensenada,134,3,158,12,11,0,9.84,1.91,48,0.99,3.29,20,46
200,Ensenada,1,Ensenada,134,4,0,0,0,0,0,0,0,0,0,0,0
201,Ensenada,1,Ensenada,134,5,146,9,13,0,9.15,1.82,57,1.46,2.98,13,56
202,Ensenada,1,Ensenada,134,6,143,5,7,3,8.09,1.75,59,1.28,2.65,16,62
203,Ensenada,1,Ensenada,134,7,154,17,8,3,8.98,2.07,60,1.54,2.85,14,54
204,Ensenada,1,Ensenada,134,8,163,9,13,3,8.7,2.25,58,1.51,3.08,13,50
205,Ensenada,1,Ensenada,134,9,147,18,15,3,8.48,2.1,58,1.53,3.59,11,32
206,Ensenada,1,Ensenada,134,10,185,10,16,3,8.37,1.98,61,1.37,3.03,25,60
207,Ensenada,1,Ensenada,134,11,42,4,16,0,9.7,1.57,17,0.88,2.8,7,6
208,Ensenada,1,Ensenada,134,12,233,12,18,3,9.48,1.67,93,1.14,3.03,19,105
209,Ensenada,1,Ensenada,134,13,157,11,12,3,9.78,1.71,54,1.37,3.08,21,55
210,Ensenada,1,Ensenada,134,14,95,6,10,3,8.4,1.85,30,1.53,3.39,5,34
211,Ensenada,1,Ensenada,134,15,64,4,3,0,9.5,1.3,28,1.02,2.67,11,23
212,Ensenada,1,Ensenada,134,16,82,6,5,0,8.85,2.19,26,1.49,3.15,7,32
213,Ensenada,1,Ensenada,134,17,99,4,7,0,11.48,1.51,29,1.3,3.67,14,27
214,Ensenada,1,Ensenada,134,18,65,5,7,0,9.82,2.71,28,0.89,2.83,14,31
215,Ensenada,1,Ensenada,134,19,86,4,9,0,9.72,2.36,26,1.12,3.58,14,33
216,Ensenada,1,Ensenada,134,20,26,0,3,0,8.32,1.9,11,0.93,2.36,3,10
217,Ensenada,1,Ensenada,134,21,320,25,19,0,9.75,1.88,113,1.18,2.99,39,129
218,Ensenada,1,Ensenada,134,22,66,3,4,0,9.57,1.79,26,1.03,3,14,30
219,Ensenada,1,Ensenada,134,23,74,4,7,0,7.89,2.35,42,1.35,3.08,14,53
220,Ensenada,1,Ensenada,134,24,93,7,6,0,8.43,2.06,37,1.52,3.1,11,32
221,Ensenada,1,Ensenada,134,25,177,10,12,0,8.88,1.9,77,1.08,2.6,25,70
222,Ensenada,1,Ensenada,134,26,0,0,0,0,0,0,0,0,0,0,0
223,Ensenada,1,Ensenada,134,27,77,5,3,0,9.52,1.69,27,1.43,3.21,11,23
224,Ensenada,1,Ensenada,134,28,136,10,13,0,9.77,1.6,48,1.36,2.89,18,41
225,Ensenada,1,Ensenada,134,29,65,3,3,0,10.55,1.33,24,1.27,2.83,7,25
226,Ensenada,1,Ensenada,134,30,106,5,5,0,9.78,1.37,40,1.28,2.94,18,35
227,Ensenada,1,Ensenada,134,31,109,7,10,0,8.86,2.13,37,1.31,3.11,10,35
228,Ensenada,1,Ensenada,134,32,213,12,19,0,10.06,1.83,67,1.13,3.55,28,84
229,Ensenada,1,Ensenada,134,33,0,0,0,0,0,0,0,0,0,0,0
230,Ensenada,1,Ensenada,134,34,210,17,20,0,8.99,2.04,83,1.46,3.04,16,76
231,Ensenada,1,Ensenada,134,35,116,7,5,3,9.45,1.76,44,1.53,3.52,11,50
232,Ensenada,1,Ensenada,134,36,99,7,7,3,9.51,1.94,39,1.41,3.09,6,23
233,Ensenada,1,Ensenada,134,37,122,12,7,3,9.33,1.96,49,1.34,3.05,16,44
234,Ensenada,1,Ensenada,134,38,113,4,11,3,8.58,1.78,43,1.3,2.9,14,39
235,Ensenada,1,Ensenada,134,39,146,7,11,3,9.61,1.86,58,1.36,2.92,12,51
236,Ensenada,1,Ensenada,134,40,156,14,17,3,9.27,1.96,60,1.41,3.06,16,58
237,Ensenada,1,Ensenada,134,41,31,0,3,3,9.2,1.73,14,0.97,2.38,5,15
238,Ensenada,1,Ensenada,134,42,127,9,7,3,8.82,1.76,44,1.38,3.1,14,49
239,Ensenada,1,Ensenada,134,43,133,6,7,5,8.51,1.76,56,1.32,2.89,18,50
240,Ensenada,1,Ensenada,134,44,60,6,4,5,9.56,1.45,30,0.92,2.73,7,27
241,Ensenada,1,Ensenada,134,45,361,27,27,8,9.59,1.88,113,1.17,3.34,36,131
242,Ensenada,1,Ensenada,134,46,2,27,27,8,9.59,1.88,1,1.17,3.34,36,131
