index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT
164,Ensenada,1,Ensenada,0115,35,53.0,6.0,4.0,0.0,8.52,1.89,17.0,1.83,3.79,3.0,17.0
165,Ensenada,1,Ensenada,0115,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Ensenada,1,Ensenada,0115,37,75.0,7.0,4.0,3.0,8.8,2.26,27.0,1.53,3.26,9.0,26.0
167,Ensenada,1,Ensenada,0115,38,55.0,7.0,6.0,3.0,8.59,2.25,18.0,1.77,3.67,9.0,16.0
168,Ensenada,1,Ensenada,0115,39,97.0,10.0,4.0,3.0,9.33,2.11,36.0,1.49,3.13,8.0,49.0
169,Ensenada,1,Ensenada,0115,40,75.0,5.0,7.0,3.0,8.82,2.27,59.0,1.53,3.13,8.0,36.0
170,Ensenada,1,Ensenada,0115,41,376.0,33.0,34.0,3.0,8.87,2.1,124.0,1.5,3.3,24.0,181.0
171,Ensenada,1,Ensenada,0115,42,74.0,8.0,3.0,3.0,8.49,2.13,22.0,1.54,3.36,6.0,28.0
172,Ensenada,1,Ensenada,0115,43,135.0,5.0,11.0,3.0,8.69,2.0,42.0,1.59,3.38,10.0,53.0
173,Ensenada,1,Ensenada,0115,44,26.0,5.0,5.0,0.0,9.27,2.0,10.0,1.08,2.89,10.0,11.0
174,Ensenada,1,Ensenada,0115,45,33.0,3.0,5.0,0.0,10.48,1.78,9.0,1.43,3.67,4.0,13.0
175,Ensenada,1,Ensenada,0115,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Ensenada,1,Ensenada,0115,47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
177,Ensenada,1,Ensenada,0115,48,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
178,Ensenada,1,Ensenada,0115,49,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
180,Ensenada,1,Ensenada,012A,15,41.0,0.0,0.0,3.0,7.85,2.46,13.0,1.08,3.42,0.0,18.0
181,Ensenada,1,Ensenada,012A,16,9.0,0.0,0.0,3.0,5.67,5.33,8.0,0.56,1.8,0.0,6.0
182,Ensenada,1,Ensenada,012A,17,11.0,0.0,0.0,3.0,5.67,5.33,3.0,0.56,1.8,0.0,6.0
183,Ensenada,1,Ensenada,012A,18,8.0,0.0,0.0,3.0,5.67,5.33,2.0,0.56,1.8,0.0,6.0
184,Ensenada,1,Ensenada,012A,19,24.0,0.0,0.0,0.0,9.93,1.33,7.0,2.0,4.8,0.0,7.0
185,Ensenada,1,Ensenada,012A,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Ensenada,1,Ensenada,012A,21,410.0,25.0,32.0,7.0,8.97,2.05,132.0,1.56,3.42,23.0,150.0
187,Ensenada,1,Ensenada,012A,22,41.0,4.0,32.0,0.0,9.43,1.85,16.0,1.58,3.73,3.0,20.0
188,Ensenada,1,Ensenada,012A,23,77.0,4.0,3.0,0.0,9.79,1.55,30.0,1.28,2.66,7.0,25.0
189,Ensenada,1,Ensenada,012A,24,59.0,3.0,4.0,0.0,9.03,2.1,20.0,1.11,3.11,6.0,13.0
190,Ensenada,1,Ensenada,012A,25,90.0,8.0,7.0,0.0,9.75,1.87,25.0,1.43,3.91,6.0,38.0
191,Ensenada,1,Ensenada,012A,26,149.0,13.0,12.0,5.0,9.31,2.0,48.0,1.52,3.39,12.0,56.0
192,Ensenada,1,Ensenada,012A,27,154.0,9.0,10.0,4.0,9.43,2.1,48.0,1.5,3.42,11.0,70.0
193,Ensenada,1,Ensenada,012A,28,52.0,9.0,6.0,4.0,7.54,2.06,18.0,1.24,3.47,11.0,28.0
194,Ensenada,1,Ensenada,012A,29,71.0,5.0,6.0,4.0,8.27,2.78,23.0,1.22,3.09,6.0,47.0
195,Ensenada,1,Ensenada,012A,30,26.0,4.0,6.0,0.0,10.38,2.67,8.0,1.53,4.33,0.0,11.0
197,Ensenada,1,Ensenada,0134,1,150.0,7.0,11.0,0.0,10.21,2.16,61.0,1.11,3.33,18.0,65.0
198,Ensenada,1,Ensenada,0134,2,174.0,9.0,14.0,0.0,9.39,1.71,57.0,1.2,3.11,22.0,66.0
199,Ensenada,1,Ensenada,0134,3,158.0,12.0,11.0,0.0,9.84,1.91,48.0,0.99,3.29,20.0,46.0
200,Ensenada,1,Ensenada,0134,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Ensenada,1,Ensenada,0134,5,146.0,9.0,13.0,0.0,9.15,1.82,57.0,1.46,2.98,13.0,56.0
